[0.00 - 2.00]  There we go. Okay.
[2.00 - 6.00]  Mind your recording and transcribing too.
[6.00 - 10.00]  Okay, so, so why have you joined instrument playing an instrument?
[10.00 - 14.00]  So right there, it's a hook.
[14.00 - 15.00]  Yeah.
[15.00 - 19.00]  And it's, it's body centered.
[19.00 - 20.00]  Yes.
[20.00 - 23.00]  And you also got that from our side because I used to be a cello.
[23.00 - 24.00]  Yes.
[24.00 - 25.00]  Body centered teacher.
[25.00 - 32.00]  Sematic trauma and somatic trauma treatment along with guitar and music.
[32.00 - 42.00]  It's all one song, just different phases, like different seasons.
[42.00 - 48.00]  Whether you want to sing in joy or, you know, write a ballad about your woes.
[48.00 - 56.00]  Music is the voice of the heart.
[56.00 - 63.00]  So, that's very interesting because it, it really gets really multi-layered really quick.
[63.00 - 64.00]  Yeah.
[64.00 - 70.00]  Um, pragmatically speaking, for me, it's all about energy and mindset.
[70.00 - 74.00]  You know, what is, what do I need to do to do a good job?
[74.00 - 77.00]  You know, especially, you know, like, what do I need to do to learn this piece?
[77.00 - 82.00]  And, you know, energy and also it's like, you know, aging is not really fun.
[82.00 - 90.00]  Also performing, um, how do I prepare myself to, to, to play the best guitar possible?
[90.00 - 96.00]  How can I remove, how can I free myself from the guitar through the guitar?
[96.00 - 98.00]  It's not a nice image.
[98.00 - 99.00]  That is good.
[99.00 - 100.00]  I get that from a Korean guy.
[100.00 - 105.00]  It's like, for a teacher, it's, I want to free yourself from the piano through the piano.
[105.00 - 113.00]  That meaning behind that is the reason that we have the term ego and it means egg and the shell.
[113.00 - 119.00]  You know, you create the structure so that you can grow within it until you're strong enough to outgrow it.
[119.00 - 123.00]  That's the ego and its own journey within the human discovery system.
[123.00 - 131.00]  And so, yes, you do that with the guitar and you do it somatically and it pulls up memories, it pulls up emotions,
[131.00 - 135.00]  it might even pull up smells and physical feelings at times.
[135.00 - 141.00]  You know, but it's interesting what music can do when it moves you.
[141.00 - 146.00]  When you get into the zone and you're really into whatever you're thinking about or.
[146.00 - 153.00]  So, so, so, so I was like, really physically I was thinking in terms of very much like,
[154.00 - 162.00]  in terms of sport, you know, the condition of the body for the best way of the best performance.
[162.00 - 168.00]  Also, you need to condition your mind and your brains for the best possible way of learning.
[168.00 - 174.00]  So, it's that engaging into learning about neurology, psychology, how do I learn a piece?
[175.00 - 184.00]  That's part of the, you know, the mental aspect is connected with the body, of course, you know.
[184.00 - 189.00]  Right. And allowing the mind to be healthy and a part of that.
[189.00 - 192.00]  So, people don't get narrow minded.
[192.00 - 197.00]  Right. And then there's like the, of course, there's the emotional aspect.
[197.00 - 206.00]  And then there's the, the psychic aspect of it.
[206.00 - 212.00]  You know, it's like not knowing what basically the quest is like what is, I mean, this is,
[212.00 - 214.00]  I'm just going to mix that already.
[214.00 - 218.00]  But you know, it's like the quest, my quest was like, well, it is the source of inspiration.
[218.00 - 220.00]  That's my quest. That's my personal quest.
[220.00 - 221.00]  Okay.
[221.00 - 223.00]  What is the source of inspiration?
[223.00 - 229.00]  And why is it? And why is nobody has any answers?
[229.00 - 236.00]  Why, how come this piece of music is here and it's very fuzzy.
[236.00 - 238.00]  It's very opaque, but it really wants to come out.
[238.00 - 245.00]  So, I'm just like searching and wrestling and then it's like, okay, I'm moving forward and I could leave it alone.
[245.00 - 248.00]  And the next day, I'm filling up a gap.
[248.00 - 250.00]  I'm packing that, saying I'm filling out.
[250.00 - 258.00]  And it's just like, I see this thing. It's just like, I don't know what it is, but it's, it's, I don't know what it means.
[258.00 - 261.00]  And I remember when we did this piece, I just said, okay, what does it mean?
[261.00 - 266.00]  So I started writing it down so I could actually see it as an object.
[266.00 - 273.00]  And then I saw a coherence that I did. I saw an architecture that I was completely oblivious to.
[273.00 - 275.00]  I started seeing the formula, the math.
[275.00 - 282.00]  The math, I thought it was a big mess, but no one's actually bongling.
[282.00 - 283.00]  Yeah.
[283.00 - 284.00]  Yeah.
[284.00 - 285.00]  What is that?
[285.00 - 289.00]  Patterns and ratios and formulas and frequencies.
[289.00 - 293.00]  And it's all, it all matters on how you want to talk about it.
[293.00 - 296.00]  Because really math is a language. It's a geometric language.
[296.00 - 299.00]  It's what we use to describe space.
[300.00 - 308.00]  And so it's a lot of fun to use while describing music, because music does exist.
[308.00 - 313.00]  You know, you can talk about it. You can play it, but it's not super tangible.
[313.00 - 318.00]  So applying math to something so abstract is a very fun process.
[318.00 - 322.00]  So yeah, we talked about that earlier.
[322.00 - 326.00]  Let me know when you're ready to get into the low side stuff.
[326.00 - 327.00]  Yeah.
[327.00 - 332.00]  Okay. So I'll just go over the first, the front view, what we see here.
