[0.00 - 4.50]  Okay, just one two.
[4.50 - 6.00]  It looks like everything's good.
[6.00 - 7.00]  Okay.
[7.00 - 14.52]  Okay, so when we talk it will auto transcribe and it says speaker one or speaker two.
[14.52 - 15.68]  Okay, fantastic.
[15.68 - 23.20]  It might not catch whether or not you're talking or I'm talking.
[23.20 - 24.20]  I'm not sure.
[24.20 - 25.20]  Got it.
[25.20 - 27.36]  But so I can see a French guy here.
[27.36 - 28.36]  Yeah.
[28.36 - 32.76]  That'll be perfect.
[32.76 - 35.36]  So I wrote some notes from those questions.
[35.36 - 36.36]  Yeah.
[36.36 - 50.08]  I actually brought two phones so I could read off one and record with the other.
[50.08 - 53.68]  So I called you on Saturday.
[53.68 - 56.60]  We had one conversation before that.
[57.60 - 65.44]  But from Saturday to today, what has it been like just before we get into this?
[65.44 - 72.64]  What has it been like to start the conversation and then start the creative process and then
[72.64 - 77.96]  get the website and have something like a rough draft to look at?
[77.96 - 83.64]  As the client for this project and for the website, how do you feel like it's started
[83.64 - 86.48]  off?
[86.48 - 93.20]  Well, it was a very catalystic prompt, basically the whole process.
[93.20 - 98.80]  And it allowed me to rediscover some really, really good formulas that I've made throughout
[98.80 - 105.12]  the years and bring them into this streamline them basically.
[105.12 - 113.80]  And also try to change my thinking in terms of the scaling up because I'm definitely a
[113.80 - 114.80]  one on one.
[114.80 - 120.44]  The biggest class I've ever had was 12 people.
[120.44 - 123.08]  I think that's perfect.
[123.08 - 127.88]  Because one thing I've learned from online education, and this is really like an online
[127.88 - 132.84]  education curriculum, one thing that I've learned is it can be very impersonal and then
[132.84 - 136.96]  you feel like you're in a pipeline and you might as well just be playing with the calculator
[136.96 - 140.00]  versus actually getting educated.
[140.00 - 141.00]  Correct.
[142.00 - 152.24]  This is where the performer aspect of who I am really comes into interaction.
[152.24 - 167.68]  My aim and intention and I think I succeeded is to humanize the Zoom space by collecting
[167.68 - 174.28]  some very powerful apps which enabled me to write music on the screen spontaneously,
[174.28 - 177.32]  of course, bringing YouTube and so forth.
[177.32 - 187.84]  But also I have an app which is beautiful mapping tool of the guitar neck with color
[187.84 - 192.24]  coded notes and shapes.
[192.24 - 200.36]  And this would actually, I was thinking of if we easily animate it.
[200.36 - 202.32]  Right, right.
[202.32 - 210.48]  And basically I create a series of scenes, visual scenes that I also call a coded that
[210.48 - 212.92]  may be mapping out a song.
[212.92 - 216.16]  So it's very visual.
[216.16 - 226.52]  So one of the code is for example the basic triads that is the supporting, that represent
[226.52 - 230.04]  the supporting beams of Western harmonies is in red.
[230.04 - 233.44]  The pentatonic scale is in orange.
[233.44 - 240.32]  So the triad is actually red and orange because those core tones are part of the pentatonic
[240.32 - 241.32]  scale.
[241.32 - 247.36]  Then I add the half steps, the fourth is in green and the major seven is in red, blue.
[247.36 - 253.16]  So there's a poetry that really relates to the feeling of the note I feel.
[253.16 - 255.72]  This is my own thing.
[255.72 - 259.56]  People perceive the bright blue as something else than the major seven.
[259.56 - 262.84]  But once you hear it, yes, that's a bright blue sky.
[262.84 - 270.20]  So already right from the start I make people think about emotional impressions.
[270.20 - 274.64]  So they're thinking much deeper and beyond just data.
[274.64 - 279.72]  Tell me what stuff I should do and what should I put in my fingers or not.
[279.72 - 286.00]  Which human beings we cannot forget that we are in the business of a new music of creating
[286.00 - 288.40]  impressions, creating emotions.
[288.40 - 291.28]  So start right away.
[291.28 - 294.32]  Be the musicians that you want to be.
[294.32 - 296.32]  It's being outsourced.
[296.32 - 299.40]  At the first note you're going to play with me.
[299.40 - 304.36]  Then you're going to do the things that musicians do and then you're going to have
[304.36 - 307.12]  the rewards and breakthroughs.
[307.12 - 312.16]  That musicians harvest after their work.
[312.16 - 313.84]  That makes a lot of sense.
[313.84 - 319.68]  So I think from my perspective, because I'm deep into education and the way the mind works
[319.68 - 322.60]  and how we learn beyond words.
[322.60 - 327.08]  Because when you go through education, when you look at school, when you look at K through
[327.08 - 331.68]  12 or higher ed, everybody uses words.
[331.68 - 333.28]  And what does that stimulate?
[333.28 - 334.28]  The mind.
[334.28 - 335.28]  And it's so limited.
[335.28 - 336.28]  It's not full spectrum.
[336.28 - 337.88]  It's the do part.
[337.88 - 343.60]  The words you get, unless you're really, really, really good.
[343.60 - 347.64]  Actually I just spoke with TJ Thompson about this.
[347.64 - 353.48]  Because he's a master guitar builder and he's dealing with students who want data.
[353.48 - 355.88]  But he's a poet.
[355.88 - 359.04]  And I kind of teach them because they are not ready to receive.
[359.04 - 362.12]  But they feel like what I have to give.
[362.12 - 364.60]  Because what I have to give is just beyond words.
[364.60 - 367.08]  And that's why I really wanted to work with you.
[367.08 - 370.28]  And so I'm in a higher education course.
[370.28 - 372.04]  I'm in a master's program.
[372.04 - 374.84]  And it's about education and technology.
[374.84 - 377.00]  It's called learning design technology.
[377.00 - 378.76]  It's at Purdue University.
[378.76 - 384.72]  And when I was digging into the culture and the philosophy, I found Pythagoras.
[384.72 - 389.24]  And I found the history of education and academia.
[389.24 - 392.44]  And Pythagoras started the first university.
[392.44 - 396.96]  And his pre-weck was it was taking a five year vow of silence.
[396.96 - 401.00]  You had to learn how to listen before you could learn how to learn.
[401.00 - 402.00]  Wow.
[402.00 - 408.52]  It's all about attention management and discipline and being able to be willing to understand
[408.52 - 410.24]  what learning is.
[410.24 - 411.24]  Right?
[411.24 - 412.24]  Yeah.
[412.24 - 413.32]  And ironically, he's the first guy to.
[413.32 - 415.92]  I mean, he's he created the scales.
[415.92 - 416.92]  Correct.
[416.92 - 417.92]  Yes.
[417.92 - 425.56]  Pythagoras is deep into math and music and harmonies and and a lot of different stuff.
[425.56 - 430.56]  Especially if you get into like the Rose accruition culture or different other societies
[430.56 - 434.96]  and cultures beyond what's you know, general mainstream.
[434.96 - 437.16]  So it's fun to learn about.
[437.16 - 438.16]  It's a steel.
[438.16 - 440.16]  It's a steel.
[440.16 - 442.16]  Thank you, Teddy.
[442.16 - 443.16]  All right.
[443.16 - 444.16]  So let's dig into that.
[444.16 - 446.16]  That was a very big intro.
[446.16 - 447.96]  Let's dig into that first prompt.
[447.96 - 448.96]  Okay.
[448.96 - 450.56]  And of course I can edit this.
[450.56 - 454.92]  Hey, Teddy, I want you to go pick some flowers for me.
[454.92 - 456.68]  I need 100 dandelions.
[456.68 - 459.16]  No, we actually we try to feed the bees.
[459.16 - 460.68]  Oh, don't pick the dandelions.
[460.68 - 461.68]  Leave them alone.
[461.68 - 462.68]  That's for the bees.
[462.68 - 463.92]  Yeah, those are for the bees.
[463.92 - 466.32]  Can you find that dog over there?
[466.32 - 468.32]  There you go.
[468.32 - 469.32]  Across the fence.
[469.32 - 470.32]  Oh, yes.
[470.32 - 471.32]  Okay.
[472.32 - 478.48]  So to start everything off the origin and the axiom, we built this entire platform around
[478.48 - 480.32]  one phrase of yours.
[480.32 - 485.32]  You are an instrument playing an instrument for someone reading this who just wants to
[485.32 - 486.60]  learn chords.
[486.60 - 491.64]  What does that mean to them?
[491.64 - 493.32]  So why do you want to learn chords?
[493.32 - 497.48]  You want to learn chords to play music, right?
[497.48 - 499.00]  Right.
[499.00 - 505.68]  So you're going to have to use your body to learn those chords because your brain is
[505.68 - 507.08]  part of your body.
[507.08 - 508.48]  Your fingers are part of your body.
[508.48 - 510.44]  It's inescapable.
[510.44 - 511.84]  It means that you're going to use your body.
[511.84 - 512.84]  We all agree with that.
[512.84 - 517.64]  This is basically a kind of obvious statement.
[517.64 - 523.44]  But actually stating clearly stating the obvious is one of the things that I've touched
[523.44 - 528.96]  myself doing because I must have realized that I've taken for granted a lot of basic
[528.96 - 533.44]  existential truths that we...
[533.44 - 540.92]  That actually makes us insensitive to some primordial universal truths, right?
[540.92 - 541.92]  So, okay.
[541.92 - 543.20]  So you're going to use your body to...
[543.20 - 544.20]  You want to play chords.
[544.20 - 547.52]  You want to play chords to learn music, to make songs, right?
[547.52 - 551.04]  So can I stay in the body?
[551.04 - 554.12]  You are an instrument playing an instrument.
[554.12 - 562.20]  I'm going to ask you, how do you intend to learn with your body those muscular movements,
[562.20 - 569.04]  those neural pathways, how to learn fast and perfectly the fastest and the most perfect
[569.04 - 570.76]  to learn those chords?
[570.76 - 572.60]  That's kinesthetic in power.
[572.60 - 574.68]  There is a shortcut.
[574.68 - 579.24]  I have a protocol that is basically going to save you months and months and months of
[579.24 - 583.48]  fubbling around and dropping F bombs in frustration.
[583.48 - 585.88]  And it's not magic.
[585.88 - 588.28]  It's basically tried and true.
[588.28 - 589.28]  Okay.
[589.28 - 590.28]  So, there's a body mechanic.
[590.28 - 591.88]  And why learn chord?
[591.88 - 593.48]  To make music, of course.
[593.48 - 598.44]  Why music for emotions, sensation, impression, entertainment?
[598.44 - 599.44]  Right.
[599.44 - 600.44]  You know?
[600.44 - 604.60]  And the thing that I keep hearing from you is why.
[604.60 - 608.24]  The deep down thing is that you get to discover meaning-making.
[609.24 - 610.24]  Why?
[610.24 - 611.24]  Why?
[611.24 - 612.24]  What is meaning-making?
[612.24 - 613.24]  Why?
[613.24 - 615.24]  What's the meaning of meaning?
[615.24 - 616.24]  Right.
[616.24 - 617.24]  Right.
[617.24 - 618.24]  Feeling curiosity is the most human-time.
[618.24 - 619.24]  No.
[619.24 - 626.48]  So both the mechanical chord learning, passing and the emotional rewards of the musical experience
[626.48 - 627.96]  are body-dependent.
[627.96 - 631.12]  But there's two kinds of, you know, you can differentiate.
[631.12 - 632.12]  So first, physical.
[632.12 - 634.56]  You're interested in physical results.
[634.56 - 640.12]  Hard to condition nerves, muscles, the nerve muscle apparatus to actually be proficient
[640.12 - 642.28]  physically and physiologically.
[642.28 - 647.68]  But also, hard to condition yourself to feel music as deeply as possible, as authentically
[647.68 - 648.96]  as possible.
[648.96 - 656.56]  So you actually spend meaning full time with those first chords that you are learning.
[656.56 - 659.56]  So you have a deep connection with those chords.
[659.56 - 662.12]  And it can be really, really, really simple.
[662.12 - 664.24]  Sometimes the truth is because the truth can be really simple.
